cognate_set_id,note
9725,Brazilian: loaned from Gaulish into Latin 'carrus'
9726,Brazilian: loaned from Kimbundu? (Angola); already present in Old Galician-Portuguese
9727,Brazilian: loaned from Dutch; definitely in European Portuguese as well as Occitan and Galician etc.
9728,Brazilian: loaned from Basque; means 'puppy' in European Portuguese and Spanish
9284,Old Occitan: loaned from Gaulish; compare French 'dégobiller'
6815,Anglo Norman: loaned from Gaulish; compare French n. 'musse'
8098,Napolitano: loaned from Germanic; compare Italian 'buttare'
8059,Nuorese: also present in other Sardinian varieties
8061,Nuorese: can't find in Dictionary; compare Italian 'tenaglia'?
6518,Logudorese: borrowed from Greek but via Latin and it's in many other languages
8053,Logudorese: borrowed from Italian but present in other Sardinian varieties
8295,French: loaned from Ancient Greek via Latin; already present in Old French 'coper'
9447,French: loaned from Old Frankish; compare Old French 'sale'
5322,Friulian: mentioned to be early loan into Latin
7627,Friulian: descended from Latin; ultimately from Ancient Greek
6501,Walloon: descended from Latin; ultimately from Ancient Greek
6557,Walloon: loaned from Germanic; compare 'broyer' in French
6822,Walloon: loaned from Old Frankish; compare Old French 'aignier'
6823,Walloon: loaned from Old Frankish; compare French 'sur'
6827,Walloon: loaned from Germanic; compare Old French 'soin'
5728,Irish: loaned from Latin into Old Irish; compare Scottish 'speur'
6267,Irish: loaned from Latin; lost in Scottish?
6735,Irish: loaned from Latin; lost in Scottish?
7285,Trégorrois: loaned from Old French; present in Vannetais according to Dictionnaire du dialecte de Vannes
7337,Trégorrois: loaned from Old French; present in Vannetais according to Dictionnaire du dialecte de Vannes
5296,Latvian: loaned from Middle Low German into entire Latvian area; present in Latgalian as 'slykts'
6849,Latvian: loaned from Finnic; compare Latgalian 'muoja'
8438,Latvian: loaned from Middle Low German; compare Latgalian 'spēlēt'
4806,Ukrainian: ultimately loaned from Latin; compare Russian 'поганый'
7847,Kostel: loaned from Middle High German into Slovene area; compare Slovene 'vȁmp'
7849,Kostel: loaned from Middle High German; compare Slovene 'špílati'
6092,Kashubian: loaned from Middle High German; compare Polish 'rachować'
6417,Manx: loaned from Brythonic into Old Irish as 'coínid'
6266,Manx: loaned from English 'battle'; compare Scottish 'baideal'
5698,Vannetais: loaned from Old French; seems to be in a 1633 Middle Breton gloss 'Nomenclator communium rerum propria nomina gallico idiomate indicans'
7958,Vannetais: loaned from Old French; in the Glossaire Moyen-Bréton by Émile Ernault with alternate variant for Vannetais
7990,Vannetais: loaned from Latin?; in all varieties of Breton
7993,Vannetais: loaned from French; already in Middle Breton (see 1499 Catholicon)
6402,Ladin: loaned from Italian?; compare Friulian 'combati'
6386,
6388,
6389,
6391,
6395,
